ingredient_name,suggested_bls_entry,bls_code,category,notes
Minze,Minze Kraut frisch,11099,Gemüse und Gemüseprodukte,Fresh mint herb (19x). Mediterranean and Asian dishes.
Paniermehl,Paniermehl,4007,Saucen und Würzmittel,Breadcrumbs for coating (18x). Standard breading ingredient.
Salatgurke,Gurke Salat roh Basismenge,11035,Gemüse und Gemüseprodukte,Salad cucumber (18x). Crisp fresh vegetable.
Schmand,Schmand,6004,Milch und Milchprodukte,Sour cream variant (18x). Higher fat than low-fat yogurt.
Gnocchi,Gnocchi tiefgekühlt,20091,Getreide und Getreideprodukte,Frozen potato dumplings (18x). Pre-made convenience product.
Lauch,Lauch (Porree) Basismenge,11044,Gemüse und Gemüseprodukte,Leek same as Porree (17x).
Zitrone,Zitrone mit Saft Basismenge,12006,Obst und Obstprodukte,Lemon (17x). Citrus fruit used for juice and zest.
Essig,Essig Speiseessig Weinessig,4065,Saucen und Würzmittel,Vinegar (16x). Wine vinegar standard type.
Garnelen geschält,Garnele Nordseegarnele geschält,2026,Fische und Fischprodukte,Peeled shrimp (16x). Ready-to-use form.
Emmentaler,Emmentaler,6040,Milch und Milchprodukte,Swiss hard cheese (15x). Mild nutty flavor.
rote Linsen,Linse rot geschält,10017,Hülsenfrüchte und Ölsamen,Red lentils (15x). Quick-cooking legume.
Cheddar,Cheddar,6045,Milch und Milchprodukte,Hard aged cheese (15x). Sharp flavor.
Süßkartoffeln,Süßkartoffel Basismenge,11150,Gemüse und Gemüseprodukte,Sweet potato (15x). Orange root vegetable.
Blattspinat,Spinat roh Basismenge,11053,Gemüse und Gemüseprodukte,Mature spinach leaves (15x). Larger leaves than baby spinach.
Speckwürfel,Speck durchwachsen,3057,Fleisch und Fleischprodukte,Diced bacon (14x). Cured pork product.
Knollensellerie,Sellerie Knollen roh Basismenge,11043,Gemüse und Gemüseprodukte,Celeriac root (14x). Different from celery stalks.
Eigelb,Hühnereier Eidotter Eigelb,5003,Eier und Eiprodukte,Egg yolk (14x). Separated from white.
Paprika rosenscharf,Paprika rosenscharf gemahlen,1019,Gewürze und Gewürzmischungen,Hot paprika powder (13x). Spicy variant of paprika.
Majoran,Majoran getrocknet,1049,Gewürze und Gewürzmischungen,Dried marjoram (13x). Similar to oregano but milder.
Hokkaido-Kürbis,Kürbis hokkaido,11062,Gemüse und Gemüseprodukte,Japanese pumpkin (12x). Orange winter squash.
Gouda,Gouda,6041,Milch und Milchprodukte,Dutch semi-hard cheese (12x). Creamy mild flavor.
Fischsauce,Fischsauce,4064,Saucen und Würzmittel,Asian fermented sauce (12x). Used in Southeast Asian cuisine.
Brokkoli,Broccoli roh Basismenge,11038,Gemüse und Gemüseprodukte,Broccoli whole head (12x).
Mayonnaise,Mayonnaise,4040,Saucen und Würzmittel,Emulsified condiment (12x). Egg-based sauce.
Gorgonzola,Gorgonzola,6048,Milch und Milchprodukte,Italian blue cheese (12x). Pungent veined cheese.
Zimt,Zimt gemahlen,1025,Gewürze und Gewürzmischungen,Ground cinnamon (11x). Warm spice for baking.
Mais aus der Dose,Mais Körner,11046,Gemüse und Gemüseprodukte,Canned corn kernels (11x). Convenient form.
Schinken,Schweineschinken gekocht,3024,Fleisch und Fleischprodukte,Ham (11x). Cured pork product.
Backpulver,Backpulver,4006,Saucen und Würzmittel,Baking powder (11x). Leavening agent.
Kurkuma,Kurkuma gemahlen,1020,Gewürze und Gewürzmischungen,Ground turmeric (11x). Golden spice for curries.
Bandnudeln,Bandnudeln Weizen Trockennudeln,20077,Getreide und Getreideprodukte,Flat ribbon pasta (11x). Similar to fettuccine/pappardelle.
Staudensellerie,Sellerie Stangen roh Basismenge,11041,Gemüse und Gemüseprodukte,Celery stalks (11x). Different from celeriac root.
Lorbeerblatt,Lorbeerblatt getrocknet,1023,Gewürze und Gewürzmischungen,Dried bay leaf (10x). Aromatics for cooking.
Ajvar,Ajvar,4063,Saucen und Würzmittel,Roasted red pepper spread (10x). Balkan condiment.
Gurke,Gurke Salat roh Basismenge,11035,Gemüse und Gemüseprodukte,Cucumber (10x).
Haferflocken,Hafer Flocken,20016,Getreide und Getreideprodukte,Oats (10x). Breakfast staple.
gelbe Paprika,Paprika gelb Rohrohstoff Basismenge,11107,Gemüse und Gemüseprodukte,Fresh yellow bell pepper (10x). Sweet pepper.
Bergkäse,Bergkäse,6043,Milch und Milchprodukte,Alpine hard cheese (10x). Mountain region cheese.
Pecorino,Pecorino,6049,Milch und Milchprodukte,Italian sheep cheese (10x). Hard salty cheese.
Worcester-Sauce,Worcester-Sauce,4066,Saucen und Würzmittel,Worcestershire sauce (10x). Complex condiment.
Garam Masala,Garam Masala,1009,Gewürze und Gewürzmischungen,Indian spice blend (9x). Complex warm flavor.
n Muskat,Muskatnuss gemahlen,1031,Gewürze und Gewürzmischungen,Parsed fragment of Muskat (26x) - data cleaning artifact. Maps to same entry as Muskat.
"Garnelen, geschält",Garnele Nordseegarnele geschält,2026,Fische und Fischprodukte,"Peeled shrimp (16x). Parsed with comma separator, same as Garnelen geschält."
"Lachsfilet, ohne Haut",Lachsfilet ohne Haut,2015,Fische und Fischprodukte,"Salmon fillet (14x). Parsed with comma separator, use salmon fillet BLS entry (2015)."
