original,parsed_name,recipe_name,recipe_idx
2 EL Paniermehl,Paniermehl,Gyros-Frikadellen mit Zaziki,8
1 Ei,Ei,Gyros-Frikadellen mit Zaziki,8
2 TL Gyrosgewürz,Gyrosgewürz,Gyros-Frikadellen mit Zaziki,8
1 TL Paprika edelsüß,Paprika edelsüß,Gyros-Frikadellen mit Zaziki,8
1 TL Senf,Senf,Gyros-Frikadellen mit Zaziki,8
80 g Feta,Feta,Gyros-Frikadellen mit Zaziki,8
80 g Krautsalat,Krautsalat,Gyros-Frikadellen mit Zaziki,8
200 g Salatgurke,Salatgurke,Gyros-Frikadellen mit Zaziki,8
"200 g Quark, 20% Fett","Quark, 20% Fett",Gyros-Frikadellen mit Zaziki,8
"50 g Joghurt, 1,5% Fett","Joghurt, 1,5% Fett",Gyros-Frikadellen mit Zaziki,8
100 g Emmentaler,Emmentaler,Schinken-Zwiebel-Brötchen,9
250 g Magerquark,Magerquark,Schinken-Zwiebel-Brötchen,9
300 g Mehl,Mehl,Schinken-Zwiebel-Brötchen,9
1 Pck. Backpulver,Pck. Backpulver,Schinken-Zwiebel-Brötchen,9
"100 g Schinkenspeck, gewürfelt","Schinkenspeck, gewürfelt",Schinken-Zwiebel-Brötchen,9
"2 EL Joghurt, 3,5% Fett","Joghurt, 3,5% Fett",Schinken-Zwiebel-Brötchen,9
600 g Rindfleisch,Rindfleisch,Rindfleisch-Patties (mediterran),10
1 TL Senf,Senf,Rindfleisch-Patties (mediterran),10
"1 TL Oregano, getrocknet",Oregano,Rindfleisch-Patties (mediterran),10
150 g Cornflakes,Cornflakes,Hähnchen-Patties,11
30 g Sesam,Sesam,Hähnchen-Patties,11
6 Scheiben Toastbrot,Scheiben Toastbrot,Hähnchen-Patties,11
¼ TL Paprika edelsüß,Paprika edelsüß,Hähnchen-Patties,11
2 Eier,Eier,Hähnchen-Patties,11
500 g Schweinegeschnetzeltes,Schweinegeschnetzeltes,Gyros-Paprika-Suppe,12
2 - 3 TL Gyrosgewürz,- 3 TL Gyrosgewürz,Gyros-Paprika-Suppe,12
200 g rote Paprika,rote Paprika,Gyros-Paprika-Suppe,12
200 g Schmand,Schmand,Gyros-Paprika-Suppe,12
1 ½ Brötchen,Brötchen,Bouletten griechisch,13
100 g Käse,Käse,Bouletten griechisch,13
400 g Mehl,Mehl,Käsegebäck zu Wein,14
150 g Emmentaler,Emmentaler,Käsegebäck zu Wein,14
1 Würfel Hefe,Würfel Hefe,Käsegebäck zu Wein,14
1 EL Pizzagewürz,Pizzagewürz,Käsegebäck zu Wein,14
4 EL Sonnenblumenkerne,Sonnenblumenkerne,Käsegebäck zu Wein,14
400 g Gruyère,Gruyère,Käse-Bier-Fondue,15
400 g Appenzeller,Appenzeller,Käse-Bier-Fondue,15
500 g helles Hefebier,helles Hefebier,Käse-Bier-Fondue,15
30 g Speisestärke,Speisestärke,Käse-Bier-Fondue,15
¼ TL Muskat,Muskat,Käse-Bier-Fondue,15
1 rote Paprika,rote Paprika,Thunfisch-Paprika-Dip,16
20 g Ajvar,Ajvar,Thunfisch-Paprika-Dip,16
"100 g Thunfisch, in Lake","Thunfisch, in Lake",Thunfisch-Paprika-Dip,16
120 g rote Paprika,rote Paprika,Vegane Pizzasuppe,17
150 g Champignons aus der Dose,Champignons aus der Dose,Vegane Pizzasuppe,17
"140 g Mais, aus der Dose","Mais, aus der Dose",Vegane Pizzasuppe,17
200 g Hafercreme,Hafercreme,Vegane Pizzasuppe,17
100 g Ajvar,Ajvar,Vegane Pizzasuppe,17
2 EL Pizzagewürz,Pizzagewürz,Vegane Pizzasuppe,17
"100 g geriebene Käse-Alternative, vegan","geriebene Käse-Alternative, vegan",Vegane Pizzasuppe,17
30 g Pinienkerne,Pinienkerne,Risotto mit Wildbrokkoli,18
320 g Risottoreis,Risottoreis,Risotto mit Wildbrokkoli,18
700 g Wildbrokkoli,Wildbrokkoli,Risotto mit Wildbrokkoli,18
"10 g Ingwer, frisch",Ingwer,Pulled Tandoori Chicken,19
1 TL Paprika edelsüß,Paprika edelsüß,Pulled Tandoori Chicken,19
"1 TL Kreuzkümmel (Cumin), gemahlen","Kreuzkümmel, gemahlen",Pulled Tandoori Chicken,19
"1 TL Kurkuma, gemahlen","Kurkuma, gemahlen",Pulled Tandoori Chicken,19
1 TL Garam Masala,Garam Masala,Pulled Tandoori Chicken,19
½ TL Chilipulver,Chilipulver,Pulled Tandoori Chicken,19
"1 Peperoni, rot","Peperoni, rot",Garnelen Aglio e Olio,20
300 g rote Paprika,rote Paprika,Garnelen Aglio e Olio,20
"350 g Garnelen, roh, mittelgroß, ohne Kopf, mit Schale","Garnelen, mittelgroß, ohne Kopf, mit Schale",Garnelen Aglio e Olio,20
½ Baguette,Baguette,Garnelen Aglio e Olio,20
150 g Gewürzgurken,Gewürzgurken,Currywurst mit Sansibar Currysauce,21
4 geh. EL Curry,eh. EL Curry,Currywurst mit Sansibar Currysauce,21
2 TL Sambal Oelek,Sambal Oelek,Currywurst mit Sansibar Currysauce,21
20 g Obstessig,Obstessig,Currywurst mit Sansibar Currysauce,21
6 Bratwürste,Bratwürste,Currywurst mit Sansibar Currysauce,21
600 g Gruyère Käse,Gruyère Käse,Käsefondue (mediterran),22
200 g Emmentaler,Emmentaler,Käsefondue (mediterran),22
20 g Speisestärke,Speisestärke,Käsefondue (mediterran),22
½ TL Muskat,Muskat,Käsefondue (mediterran),22
½ TL Paprika edelsüß,Paprika edelsüß,Käsefondue (mediterran),22
"½ - 1 TL Thymian, getrocknet",- 1 TL Thymian,Käsefondue (mediterran),22
"1 rote Chilischote, frisch",rote Chilischote,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
120 g Möhren,Möhren,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
½ Bund Koriander,Koriander,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
"20 g Ingwer, frisch",Ingwer,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
"1 TL Koriander, gemahlen","Koriander, gemahlen",Feurige Ingwer-Limettensuppe mit Räuchertofu,23
250 g Räuchertofu,Räuchertofu,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
150 g Champignons,Champignons,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
100 g Brokkoliröschen,Brokkoliröschen,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
1 geh. TL Sambal Oelek,eh. TL Sambal Oelek,Feurige Ingwer-Limettensuppe mit Räuchertofu,23
70 g Möhren,Möhren,Gemüse-Puten-Tortillas,24
½ TL Curry,Curry,Gemüse-Puten-Tortillas,24
1 Dose Mais,Dose Mais,Gemüse-Puten-Tortillas,24
40 g Eisbergsalat,Eisbergsalat,Gemüse-Puten-Tortillas,24
50 g Putenbrust-Aufschnitt,Putenbrust-Aufschnitt,Gemüse-Puten-Tortillas,24
4 Brötchen,Brötchen,Schnelle Gemüse-Brötchen,25
120 g Käse,Käse,Schnelle Gemüse-Brötchen,25
120 g rote Paprika,rote Paprika,Schnelle Gemüse-Brötchen,25
100 g Möhren,Möhren,Schnelle Gemüse-Brötchen,25
"½ TL Oregano, getrocknet",Oregano,Schnelle Gemüse-Brötchen,25
"150 g Schinken, gekocht",Schinken,Baguette Hawaii,26
200 g Emmentaler,Emmentaler,Baguette Hawaii,26
200 g Kräuter-Crème-frâiche,Kräuter-Crème-frâiche,Baguette Hawaii,26
2 Baguettes,Baguettes,Baguette Hawaii,26
"150 g Ananas, frisch",Ananas,Baguette Hawaii,26
150 g Gouda,Gouda,Hotdog-Pizza,27
1 Fladenbrot,Fladenbrot,Hotdog-Pizza,27
100 g Remoulade,Remoulade,Hotdog-Pizza,27
2 TL Senf,Senf,Hotdog-Pizza,27
200 g Mini-Würstchen,Mini-Würstchen,Hotdog-Pizza,27
80 g Gewürzgurken,Gewürzgurken,Hotdog-Pizza,27
700 g Kasseler,Kasseler,Kasseler-Topf mit Sauerkraut,28
500 g Sauerkraut,Sauerkraut,Kasseler-Topf mit Sauerkraut,28
20 g Mehl,Mehl,Kasseler-Topf mit Sauerkraut,28
60 g Paprikamark,Paprikamark,Kasseler-Topf mit Sauerkraut,28
25 g Cognac,Cognac,Kasseler-Topf mit Sauerkraut,28
20 g körniger Senf,körniger Senf,Kasseler-Topf mit Sauerkraut,28
5 Stängel Thymian,Thymian,Kasseler-Topf mit Sauerkraut,28
"1 Chilischote, rot, getrocknet","Chilischote, rot","Spaghetti mit Knoblauch, Olivenöl und Chili",29
350 g Spaghetti,Spaghetti,"Spaghetti mit Knoblauch, Olivenöl und Chili",29
1 Möhre,Möhre,Vegetarische Sushi-Rolle,30
"1 Rettich, frisch",Rettich,Vegetarische Sushi-Rolle,30
4 Stängel Spargel,Spargel,Vegetarische Sushi-Rolle,30
80 g Essig,Essig,Vegetarische Sushi-Rolle,30
"1 TL Kurkuma, gemahlen","Kurkuma, gemahlen",Vegetarische Sushi-Rolle,30
4 Nori-Blätter,Nori-Blätter,Vegetarische Sushi-Rolle,30
720 g Sushi Reis,Sushi Reis,Vegetarische Sushi-Rolle,30
150 g Möhren,Möhren,Linsen mit Balsamico,31
100 g Speckwürfel,Speckwürfel,Linsen mit Balsamico,31
1 Dose Linsen,Dose Linsen,Linsen mit Balsamico,31
1 gelber Paprika,elber Paprika,Cremige Kidneybohnen-Kokos-Suppe mit Tortilla-Chips,32
½ TL Cajun-Gewürzmischung,Cajun-Gewürzmischung,Cremige Kidneybohnen-Kokos-Suppe mit Tortilla-Chips,32
½ Limette,imette,Cremige Kidneybohnen-Kokos-Suppe mit Tortilla-Chips,32
300 g Paradeiser,Paradeiser,Bohnen-Avocado-Salat,33
"¼ - ½ TL Kreuzkümmel, gemahlen","- ½ TL Kreuzkümmel, gemahlen",Bohnen-Avocado-Salat,33
1 - 2 Msp. Chilipulver,- 2 Msp. Chilipulver,Bohnen-Avocado-Salat,33
"2 - 3 EL Korianderblätter, frisch",- 3 EL Korianderblätter,Bohnen-Avocado-Salat,33
"1 - 2 grüne Chilischoten, frisch",- 2 grüne Chilischoten,Kokosnuss Dhal,34
"250 g rote Linsen, getrocknet",rote Linsen,Kokosnuss Dhal,34
"1 TL Kurkuma, gemahlen","Kurkuma, gemahlen",Kokosnuss Dhal,34
2 TL schwarze Senfkörner,schwarze Senfkörner,Kokosnuss Dhal,34
"120 g Babyspinat, frisch",Babyspinat,Kokosnuss Dhal,34
"2 EL Koriander, frisch",Koriander,Kokosnuss Dhal,34
300 g Suppengemüse,Suppengemüse,Buchstabensuppe,35
100 g Suppennudeln,Suppennudeln,Buchstabensuppe,35
"150 g Erbsen, TK",Erbsen,Buchstabensuppe,35
280 g Brühwürstchen,Brühwürstchen,Buchstabensuppe,35
2 Prisen Muskat,n Muskat,Buchstabensuppe,35
"10 g Ingwer, frisch",Ingwer,Thai-Salat mit Erdnussdressing,36
50 g Erdnusscreme,Erdnusscreme,Thai-Salat mit Erdnussdressing,36
20 g Fischsauce,Fischsauce,Thai-Salat mit Erdnussdressing,36
150 g Rotkohl,Rotkohl,Thai-Salat mit Erdnussdressing,36
250 g rote Paprika,rote Paprika,Thai-Salat mit Erdnussdressing,36
250 g Mango,Mango,Thai-Salat mit Erdnussdressing,36
5 g Minze,Minze,Thai-Salat mit Erdnussdressing,36
5 g Koriander,Koriander,Thai-Salat mit Erdnussdressing,36
"400 g Garnelen, roh, geschält","Garnelen, geschält",Thai-Salat mit Erdnussdressing,36
120 g rote Paprika,rote Paprika,Pasta für Sportler,37
160 g Nudeln,Nudeln,Pasta für Sportler,37
"½ TL Oregano, getrocknet",Oregano,Pasta für Sportler,37
"¾ TL Kreuzkümmel, gemahlen","Kreuzkümmel, gemahlen",Rauchiger Bohneneintopf,38
"½ TL Koriander, gemahlen","Koriander, gemahlen",Rauchiger Bohneneintopf,38
"200 g Paprika, gemischt","Paprika, gemischt",Rauchiger Bohneneintopf,38
½ TL Paprika de la Vera,Paprika de la Vera,Rauchiger Bohneneintopf,38
100 g Mais aus der Dose,Mais aus der Dose,Rauchiger Bohneneintopf,38
"½ TL Oregano, getrocknet",Oregano,Rauchiger Bohneneintopf,38
¼ TL Chilipulver,Chilipulver,Rauchiger Bohneneintopf,38
200 g Crème fraîche,Crème fraîche,Puten-Döner mit Petersiliendip,39
300 g Putengeschnetzeltes,Putengeschnetzeltes,Puten-Döner mit Petersiliendip,39
1 TL Paprika rosenscharf,Paprika rosenscharf,Puten-Döner mit Petersiliendip,39
1 Prise Kümmel,Kümmel,Puten-Döner mit Petersiliendip,39
½ Fladenbrot,Fladenbrot,Puten-Döner mit Petersiliendip,39
½ rote Paprika,rote Paprika,Puten-Döner mit Petersiliendip,39
80 g Eisbergsalat,Eisbergsalat,Puten-Döner mit Petersiliendip,39
150 g Weißkohl,Weißkohl,Pita mit Hackbällchen,40
50 g Möhren,Möhren,Pita mit Hackbällchen,40
½ Bund Dill,Dill,Pita mit Hackbällchen,40
"10 g Senf, mittelscharf","Senf, mittelscharf",Pita mit Hackbällchen,40
200 g Gurke,Gurke,Pita mit Hackbällchen,40
200 g Griechischer Joghurt (10% Fett),Griechischer Joghurt,Pita mit Hackbällchen,40
1 TL Rosmarin,Rosmarin,Pita mit Hackbällchen,40
"½ TL Thymian, getrocknet",Thymian,Pita mit Hackbällchen,40
1 Ei,Ei,Pita mit Hackbällchen,40
30 g Paniermehl,Paniermehl,Pita mit Hackbällchen,40
4 Pita-Brottaschen,Pita-Brottaschen,Pita mit Hackbällchen,40
"20 g Ingwer, frisch",Ingwer,Cremige Mie-Nudeln,41
1 Bund Koriander,Koriander,Cremige Mie-Nudeln,41
1 Limette,imette,Cremige Mie-Nudeln,41
1 ½ EL rote Thai-Currypaste,rote Thai-Currypaste,Cremige Mie-Nudeln,41
100 g Brokkoli,Brokkoli,Cremige Mie-Nudeln,41
100 g rote Paprika,rote Paprika,Cremige Mie-Nudeln,41
50 g Champignons,Champignons,Cremige Mie-Nudeln,41
80 g Erdnusscreme,Erdnusscreme,Cremige Mie-Nudeln,41
1 geh. TL Curry,eh. TL Curry,Cremige Mie-Nudeln,41
125 g Mie-Nudeln,Mie-Nudeln,Cremige Mie-Nudeln,41
300 - 400 g Udon-Nudeln (Udon Noodle precooked),- 400 g Udon-Nudeln,Udon Nudeln mit Poulet,42
"400 g Pouletbrustfilet, ohne Haut","Pouletbrustfilet, ohne Haut",Udon Nudeln mit Poulet,42
10 g Austernsauce,Austernsauce,Udon Nudeln mit Poulet,42
200 g Pak-Choi,Pak-Choi,Udon Nudeln mit Poulet,42
"150 g Austernpilze, frisch",Austernpilze,Udon Nudeln mit Poulet,42
100 g Gruyère,Gruyère,Hörnlisalat,43
300 g Teigwaren,Teigwaren,Hörnlisalat,43
2 Eier,Eier,Hörnlisalat,43
150 g Schinkenwürfeli,Schinkenwürfeli,Hörnlisalat,43
2 EL Kräuteressig,Kräuteressig,Hörnlisalat,43
½ EL Senf,Senf,Hörnlisalat,43
1 Bund Schnittlauch,Schnittlauch,Hörnlisalat,43
"10 g Chilischoten, rot, getrocknet","Chilischoten, rot",Knoblauch-Pfeffer-Garnelen,44
600 g rohe Garnelen,rohe Garnelen,Knoblauch-Pfeffer-Garnelen,44
50 g Reiswein,Reiswein,Knoblauch-Pfeffer-Garnelen,44
60 g Mandeln,Mandeln,Käse-Wraps mit Möhren-Mandel-Salsa,45
400 g Möhren,Möhren,Käse-Wraps mit Möhren-Mandel-Salsa,45
30 g Ahornsirup,Ahornsirup,Käse-Wraps mit Möhren-Mandel-Salsa,45
"1 Prise Kardamom, gemahlen","Kardamom, gemahlen",Käse-Wraps mit Möhren-Mandel-Salsa,45
12 grüne Salatblätter,rüne Salatblätter,Käse-Wraps mit Möhren-Mandel-Salsa,45
12 Scheiben Käse,Scheiben Käse,Käse-Wraps mit Möhren-Mandel-Salsa,45
"10 - 15 g Ingwer, frisch",- 15 g Ingwer,Kokoscurry mit Huhn und Karfiolreis (Low Carb),46
"20 g Mandeln, gemahlen","Mandeln, gemahlen",Kokoscurry mit Huhn und Karfiolreis (Low Carb),46
"500 g Hühneroberkeulen, ohne Haut, ausgelöst","Hühneroberkeulen, ohne Haut, ausgelöst",Kokoscurry mit Huhn und Karfiolreis (Low Carb),46
" Korianderblätter, frisch",Korianderblätter,Kokoscurry mit Huhn und Karfiolreis (Low Carb),46
150 g Cheddar,Cheddar,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,47
250 g Chorizo,Chorizo,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,47
20 g Ajvar,Ajvar,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,47
300 - 400 g rote Paprika,- 400 g rote Paprika,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,47
1000 g Gnocchi,Gnocchi,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,47
"20 g Ingwer, frisch",Ingwer,Tofu-Curry mit Gemüse,48
30 g gelbe Currypaste,gelbe Currypaste,Tofu-Curry mit Gemüse,48
400 g Brokkoliröschen,Brokkoliröschen,Tofu-Curry mit Gemüse,48
"500 g Spargel, grün","Spargel, grün",Tofu-Curry mit Gemüse,48
"300 g Tofu, fest","Tofu, fest",Tofu-Curry mit Gemüse,48
"5 g Koriander, frisch",Koriander,Tofu-Curry mit Gemüse,48
"30 g Ingwer, frisch",Ingwer,Gebratene Mie-Nudeln mit Gemüse,49
25 g Reisessig,Reisessig,Gebratene Mie-Nudeln mit Gemüse,49
50 g Sweet-Chili-Sauce,Sweet-Chili-Sauce,Gebratene Mie-Nudeln mit Gemüse,49
400 g Mie-Nudeln,Mie-Nudeln,Gebratene Mie-Nudeln mit Gemüse,49
100 g Porree,Porree,Gebratene Mie-Nudeln mit Gemüse,49
200 g Möhren,Möhren,Gebratene Mie-Nudeln mit Gemüse,49
4 Champignons,Champignons,Gebratene Mie-Nudeln mit Gemüse,49
1 rote Paprika,rote Paprika,Gebratene Mie-Nudeln mit Gemüse,49
40 g Porree,Porree,Kimchi-Risotto,50
80 g Kimchi,Kimchi,Kimchi-Risotto,50
160 g Risottoreis,Risottoreis,Kimchi-Risotto,50
 Sesam,Sesam,Kimchi-Risotto,50
½ frische Chilischote,frische Chilischote,Gemüse-Miso-Suppe mit Hähnchen,51
"10 g Ingwer, frisch",Ingwer,Gemüse-Miso-Suppe mit Hähnchen,51
"70 g Erbsen, TK",Erbsen,Gemüse-Miso-Suppe mit Hähnchen,51
70 g Möhren,Möhren,Gemüse-Miso-Suppe mit Hähnchen,51
80 g Porree,Porree,Gemüse-Miso-Suppe mit Hähnchen,51
20 g Misopaste,Misopaste,Gemüse-Miso-Suppe mit Hähnchen,51
3 Stängel Koriander,Koriander,Gemüse-Miso-Suppe mit Hähnchen,51
6 Scheiben Bauernbrot,Scheiben Bauernbrot,Überbackenes Brot,52
100 g Gouda,Gouda,Überbackenes Brot,52
¼ Bund Koriander,Koriander,Chorizo Quesadillas mit Guacamole,53
100 g Chorizo,Chorizo,Chorizo Quesadillas mit Guacamole,53
150 g Cheddar,Cheddar,Chorizo Quesadillas mit Guacamole,53
1 gelbe Paprika,elbe Paprika,Chorizo Quesadillas mit Guacamole,53
1 Dose Mais,Dose Mais,Chorizo Quesadillas mit Guacamole,53
¼ Bund Koriander,Koriander,Chorizo Quesadillas mit Guacamole,53
50 g Mandeln,Mandeln,Lauwarmer Rotkohl-Quinoa-Salat,54
300 g Rotkohl,Rotkohl,Lauwarmer Rotkohl-Quinoa-Salat,54
80 g Walnusshälften,Walnusshälften,Lauwarmer Rotkohl-Quinoa-Salat,54
20 g Essig,Essig,Lauwarmer Rotkohl-Quinoa-Salat,54
300 g Möhren,Möhren,Möhren-Fenchel-Eintopf mit Lachs,55
"150 g Kartoffeln, mehligkochend","Kartoffeln, mehligkochend",Möhren-Fenchel-Eintopf mit Lachs,55
200 g Fenchel,Fenchel,Möhren-Fenchel-Eintopf mit Lachs,55
"½ TL Koriander, gemahlen","Koriander, gemahlen",Möhren-Fenchel-Eintopf mit Lachs,55
"2 Lachsfilet, frisch, ohne Haut","achsfilet, ohne Haut",Möhren-Fenchel-Eintopf mit Lachs,55
600 g Gruyère,Gruyère,Chäsfondue,56
200 g Emmentaler,Emmentaler,Chäsfondue,56
2 EL Maisstärke (z. B. Maizena),Maisstärke,Chäsfondue,56
"420 g Weisswein, trocken","Weisswein, trocken",Chäsfondue,56
20 g Kirsch,Kirsch,Chäsfondue,56
"½ TL Muskatnuss, gemahlen","Muskatnuss, gemahlen",Chäsfondue,56
½ TL Paprika edelsüss,Paprika edelsüss,Chäsfondue,56
700 g Weissbrot,Weissbrot,Chäsfondue,56
150 g Speckwürfel,Speckwürfel,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,57
"100 g Champignons, frisch",Champignons,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,57
"1 TL Oregano, getrocknet",Oregano,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,57
"1 Prise Chiliflocken, getrocknet",Chiliflocken,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,57
300 g Mafaldine Pasta,Mafaldine Pasta,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,57
1 geh. TL Gemüsebouillon Paste,eh. TL Gemüsebouillon Paste,Tomaten-Champignon-Spaghetti,58
"1 TL Oregano, getrocknet",Oregano,Tomaten-Champignon-Spaghetti,58
"80 g Champignons, frisch",Champignons,Tomaten-Champignon-Spaghetti,58
"300 g Pasta getrocknet, Sorte Spaghetti","Pasta getrocknet, Sorte Spaghetti",Tomaten-Champignon-Spaghetti,58
¼ TL Zitronenschale,Zitronenschale,Rote-Bete-Rösti mit Forelle und Dip,59
120 g Feta,Feta,Rote-Bete-Rösti mit Forelle und Dip,59
½ Bund Dill,Dill,Rote-Bete-Rösti mit Forelle und Dip,59
½ Bund Koriander,Koriander,Rote-Bete-Rösti mit Forelle und Dip,59
200 g Crème fraîche,Crème fraîche,Rote-Bete-Rösti mit Forelle und Dip,59
½ Bund Dill,Dill,Rote-Bete-Rösti mit Forelle und Dip,59
230 g Rote Bete,Rote Bete,Rote-Bete-Rösti mit Forelle und Dip,59
3 Eier,Eier,Rote-Bete-Rösti mit Forelle und Dip,59
50 g Speisestärke,Speisestärke,Rote-Bete-Rösti mit Forelle und Dip,59
"200 g Forellenfilets, geräuchert","Forellenfilets, geräuchert",Rote-Bete-Rösti mit Forelle und Dip,59
"10 g Ingwer, frisch",Ingwer,Reisbandnudeln mit Gemüsecurry,60
1 gestr. TL Chiliflocken,estr. TL Chiliflocken,Reisbandnudeln mit Gemüsecurry,60
200 g Möhren,Möhren,Reisbandnudeln mit Gemüsecurry,60
200 g Champignons,Champignons,Reisbandnudeln mit Gemüsecurry,60
4 TL rote Thai-Currypaste,rote Thai-Currypaste,Reisbandnudeln mit Gemüsecurry,60
3 geh. EL Erdnussmus,eh. EL Erdnussmus,Reisbandnudeln mit Gemüsecurry,60
2 TL Garam Masala,Garam Masala,Reisbandnudeln mit Gemüsecurry,60
200 g Brokkoliröschen,Brokkoliröschen,Reisbandnudeln mit Gemüsecurry,60
"250 g Reisnudeln, getrocknet",Reisnudeln,Reisbandnudeln mit Gemüsecurry,60
1 TL Korianderkörner,Korianderkörner,Karibisches Garnelencurry,61
1 TL Kreuzkümmelsamen,Kreuzkümmelsamen,Karibisches Garnelencurry,61
1 TL schwarze Senfkörner,schwarze Senfkörner,Karibisches Garnelencurry,61
"2 - 3 Prisen Nelken, gemahlen","- 3 Prisen Nelken, gemahlen",Karibisches Garnelencurry,61
"1 EL Kurkuma, gemahlen","Kurkuma, gemahlen",Karibisches Garnelencurry,61
"20 g Ingwer, frisch",Ingwer,Karibisches Garnelencurry,61
"1 rote Chilischote, frisch",rote Chilischote,Karibisches Garnelencurry,61
1 rote Paprika,rote Paprika,Karibisches Garnelencurry,61
2 Bananen,Bananen,Karibisches Garnelencurry,61
"12 Garnelen, roh, groß, geschält","arnelen, groß, geschält",Karibisches Garnelencurry,61
100 g Crème fraîche,Crème fraîche,Kürbisrösti mit Kräuterdip und Landschinken,62
1 Bund Schnittlauch,Schnittlauch,Kürbisrösti mit Kräuterdip und Landschinken,62
1 Bund Kerbel,Kerbel,Kürbisrösti mit Kräuterdip und Landschinken,62
2 Stängel Estragon,Estragon,Kürbisrösti mit Kräuterdip und Landschinken,62
50 g Paniermehl,Paniermehl,Kürbisrösti mit Kräuterdip und Landschinken,62
40 g Speisestärke,Speisestärke,Kürbisrösti mit Kräuterdip und Landschinken,62
300 g Hokkaido-Kürbis,Hokkaido-Kürbis,Kürbisrösti mit Kräuterdip und Landschinken,62
200 g Möhren,Möhren,Kürbisrösti mit Kräuterdip und Landschinken,62
2 Eier,Eier,Kürbisrösti mit Kräuterdip und Landschinken,62
8 Scheiben roher Schinken,Scheiben roher Schinken,Kürbisrösti mit Kräuterdip und Landschinken,62
150 g Cabanossi,Cabanossi,Baked Beans (4 Fäuste für ein Halleluja),63
125 g Speckwürfel,Speckwürfel,Baked Beans (4 Fäuste für ein Halleluja),63
"1 TL Thymian, getrocknet",Thymian,Baked Beans (4 Fäuste für ein Halleluja),63
1 TL Paprika de la Vera,Paprika de la Vera,Baked Beans (4 Fäuste für ein Halleluja),63
50 g Lauch,Lauch,Gemüse-Consommé mit Gnocchi,64
